"Goals_Total_name","Goals_Total_Player","Goals_Total_Player_url","Goals_Total_Team","Goals_Total_Team_url","Goals_Total_Years","Goals_Total_MP_Total"
"371","Dwight Powell","https://www.basketball-reference.com/players/p/poweldw01.html","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","6","6956"
"453","Jordan Clarkson","https://www.basketball-reference.com/players/c/clarkjo01.html","WAS","https://www.basketball-reference.com/teams/WAS/draft.html","6","12232"
"27","Russ Smith","https://www.basketball-reference.com/players/s/smithru01.html","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","2","131"
"40","Lamar Patterson","https://www.basketball-reference.com/players/p/pattela01.html","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","2","435"
"36","Cameron Bairstow","https://www.basketball-reference.com/players/b/bairsca01.html","CHI","https://www.basketball-reference.com/teams/CHI/draft.html","2","167"
"22","Thanasis Antetokounmpo","https://www.basketball-reference.com/players/a/antetth01.html","NYK","https://www.basketball-reference.com/teams/NYK/draft.html","2","135"
"64","Semaj Christon","https://www.basketball-reference.com/players/c/chrisse01.html","MIA","https://www.basketball-reference.com/teams/MIA/draft.html","1","973"
"44","Devyn Marble","https://www.basketball-reference.com/players/m/marblde01.html","DEN","https://www.basketball-reference.com/teams/DEN/draft.html","2","457"
"123","Jordan McRae","https://www.basketball-reference.com/players/m/mcraejo01.html","SAS","https://www.basketball-reference.com/teams/SAS/draft.html","4","1696"
"58","Cory Jefferson","https://www.basketball-reference.com/players/j/jeffeco01.html","SAS","https://www.basketball-reference.com/teams/SAS/draft.html","2","581"
